count2019_01,source_name_01_y,ra_01,dec_01
790,NGC-1079,40.9359,-29.0039
791,NGC-1067,40.9605,32.5119
793,0243574+3848028,40.9892,38.8008
794,ESO479-G030,41.0121,-26.1864
795,CGCG463-002,41.0334,16.5449
797,024440-090735,41.1693,-9.12656
798,ESO479-G031,41.1988,-24.5139
799,QSOB0241+622,41.2404,62.4685
801,CGCG463-006NED0,41.3599,18.1342
802,NGC-1084,41.4997,-7.57864
803,NGC1097,41.5792,-30.275
804,CGCG440-005,41.6017,11.0936
805,NGC-1087,41.605,-0.498583
806,NGC-1090,41.6412,-0.247222
807,024703-003533,41.7651,-0.592583
808,SDSSJ02472+0028,41.8183,0.469139
810,J024744+002451,41.937,0.414167
811,MRK1055,42.0773,-8.96047
812,MARK1187,42.0917,13.9354
814,UGC-2270,42.1289,50.7546
815,024834-005935,42.1432,-0.993111
816,SDSSJ02487-0006,42.1983,-0.109194
817,024850-004602,42.2117,-0.767444
818,UGC-2295,42.2452,3.16867
819,2MASXJ02485937+,42.2471,26.5109
820,IC1859,42.2664,-31.1725
821,02490690+470754,42.2787,47.1316
822,IC1858,42.285,-31.2894
823,SDSSJ02492-0815,42.3039,-8.257
824,NGC-1107,42.3317,8.09264
825,Mrk372,42.3362,19.3039
826,ESO299-G020,42.3914,-38.7696
828,MRK1058,42.4658,34.988
830,025014+000539,42.5607,0.0943889
831,NGC-1106,42.6688,41.6715
832,2MASXJ02504259+,42.6776,54.7049
833,2MASXJ02505745+,42.7395,0.369417
835,NGC1125,42.918,-16.6511
836,025223-083037,43.0975,-8.51039
837,MCG-02-08-014,43.0975,-8.51039
838,025232-003633,43.135,-0.60925
839,025242-084815,43.1758,-8.80436
840,NGC-1122,43.2133,42.2051
841,025329-001405,43.3733,-0.234833
845,IC-267,43.4594,12.8493
846,NGC-1137,43.5114,2.96208
849,UGC02379NED02,43.6196,14.155
850,NGC1140,43.64,-10.0278
851,NGC1144,43.8008,-0.183583
852,NGC1142,43.8009,-0.183556
855,J025557+004133,43.9886,0.692639
856,0253-1641,44.0108,-16.4874
857,ESO417-G006,44.0897,-32.1856
860,J025805+462953,44.5218,46.4981
862,CGCG485-003,44.5413,24.0337
864,0258473+3543577,44.6971,35.7327
865,025900-064537,44.7507,-6.76044
867,025930-242254,44.877,-24.3817
869,MRK1066,44.9941,36.8206
870,UGC02456,44.9941,36.8206
875,MCG-02.08.038,45.0179,-10.8244
876,RXSJ03000+1630,45.0334,16.5041
877,0258-1136,45.1275,-11.4158
878,IRAS02580-1136,45.1275,-11.4158
879,NGC1159,45.1938,43.1626
880,NGC-1161,45.3088,44.8974
881,NGC-1167,45.4266,35.2057
885,J030144-003533,45.4351,-0.592639
886,UGC-2491,45.4743,35.7332
887,NGC-1164,45.4993,42.5849
888,GSC6438_00439,45.555,-23.5889
890,NGC-1187,45.6567,-22.8672
891,3C_76.1,45.8125,16.4386
892,NGC-1169,45.8948,46.3864
896,030349-010613,45.9546,-1.10372
919,NGC1194,45.9546,-1.10372
934,NGC1194-vtest,45.9546,-1.10372
948,030350-001215,45.9602,-0.204472
950,KUG0301+002,46.0738,0.474111
952,NGC1204,46.1662,-12.3414
955,J030509+010536,46.2876,1.09356
956,030510-010431,46.2942,-1.07553
957,NGC-1186,46.3785,42.8355
958,UGC-2526,46.4305,36.7862
959,03062019+421500,46.5842,42.25
960,030631-083806,46.6319,-8.63511
962,NGC-1211,46.7183,-0.794417
963,NGC1229,47.045,-22.9608
964,NGC-1207,47.0645,38.3822
965,MRK1069,47.0792,-13.9029
966,3C78,47.1092,4.11086
967,NGC1218,47.1092,4.11086
969,IC-1895,47.4025,-25.2539
971,031100-082528,47.7532,-8.42456
972,NGC-1241,47.8108,-8.92222
973,2MASXJ03111883-,47.8283,-20.7717
975,NGC-1233,48.1379,39.3189
977,NGC-1256,48.4942,-21.9861
980,UGC-2604,48.6688,39.6175
982,IC-304,48.7557,37.8818
984,Mrk1073,48.7559,42.0358
987,KUG0312+013,48.7721,1.50836
988,2MASXJ031526+16,48.8617,16.0431
989,NGC1266,49.003,-2.42722
991,J0316+4204,49.0042,42.0743
993,031641-193411,49.1726,-19.5697
996,031702+011518,49.2592,1.25503
997,UGC02638,49.2592,1.25497
998,ESO-481-G17,49.2683,-22.8656
999,031706-063008,49.2779,-6.50219
